Sentence	URL	S3 Key
-습니다	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/102_-습니다.mp4	AI_Videos/102_-습니다.mp4
수표	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11204_수표.mp4	AI_Videos/11204_수표.mp4
보다	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11409_보다.mp4	AI_Videos/11409_보다.mp4
현실	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11495_현실.mp4	AI_Videos/11495_현실.mp4
동안	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11526_동안.mp4	AI_Videos/11526_동안.mp4
사이	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11527_사이.mp4	AI_Videos/11527_사이.mp4
기간	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11528_기간.mp4	AI_Videos/11528_기간.mp4
함께	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11537_함께.mp4	AI_Videos/11537_함께.mp4
필요	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11545_필요.mp4	AI_Videos/11545_필요.mp4
비서	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11699_비서.mp4	AI_Videos/11699_비서.mp4
고정	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11723_고정.mp4	AI_Videos/11723_고정.mp4
정리	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11811_정리.mp4	AI_Videos/11811_정리.mp4
정책	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11812_정책.mp4	AI_Videos/11812_정책.mp4
민간	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11832_민간.mp4	AI_Videos/11832_민간.mp4
위	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11904_위.mp4	AI_Videos/11904_위.mp4
이상	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11905_이상.mp4	AI_Videos/11905_이상.mp4
통장	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11913_통장.mp4	AI_Videos/11913_통장.mp4
통하다	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/11914_통하다.mp4	AI_Videos/11914_통하다.mp4
개인	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12029_개인.mp4	AI_Videos/12029_개인.mp4
말하다	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12138_말하다.mp4	AI_Videos/12138_말하다.mp4
곳	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12204_곳.mp4	AI_Videos/12204_곳.mp4
위치	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12205_위치.mp4	AI_Videos/12205_위치.mp4
장소	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12206_장소.mp4	AI_Videos/12206_장소.mp4
의사	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12216_의사.mp4	AI_Videos/12216_의사.mp4
영어	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12229_영어.mp4	AI_Videos/12229_영어.mp4
카드	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12258_카드.mp4	AI_Videos/12258_카드.mp4
경제	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/1226_경제.mp4	AI_Videos/1226_경제.mp4
휴대폰	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12311_휴대폰.mp4	AI_Videos/12311_휴대폰.mp4
과	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12331_과.mp4	AI_Videos/12331_과.mp4
꼭	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12372_꼭.mp4	AI_Videos/12372_꼭.mp4
필수	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12375_필수.mp4	AI_Videos/12375_필수.mp4
수입	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12453_수입.mp4	AI_Videos/12453_수입.mp4
내	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12455_내.mp4	AI_Videos/12455_내.mp4
기본금	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12473_기본금.mp4	AI_Videos/12473_기본금.mp4
월급	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12486_월급.mp4	AI_Videos/12486_월급.mp4
재산가	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12494_재산가.mp4	AI_Videos/12494_재산가.mp4
읽다	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12499_읽다.mp4	AI_Videos/12499_읽다.mp4
인상	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12528_인상.mp4	AI_Videos/12528_인상.mp4
투명	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12533_투명.mp4	AI_Videos/12533_투명.mp4
관리	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12537_관리.mp4	AI_Videos/12537_관리.mp4
실업	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12566_실업.mp4	AI_Videos/12566_실업.mp4
할 수 없다	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12571_할 수 없다.mp4	AI_Videos/12571_할 수 없다.mp4
할수없다	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12571_할수없다.mp4	AI_Videos/12571_할수없다.mp4
밖에	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12575_밖에.mp4	AI_Videos/12575_밖에.mp4
특별	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12584_특별.mp4	AI_Videos/12584_특별.mp4
특별히	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12586_특별히.mp4	AI_Videos/12586_특별히.mp4
제거	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12601_제거.mp4	AI_Videos/12601_제거.mp4
영업	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12644_영업.mp4	AI_Videos/12644_영업.mp4
중요	https://sonnuri.s3.ap-northeast-2.amazonaws.com/AI_Videos/12722_중요.mp4	AI_Videos/12722_중요.mp4
